state,District,MPCE_URP,MPCE_MRP,state_1
6,9,1989.8,2257.42,HR
6,9,2552.75,3150.11,HR
6,9,1839.4,2152.22,HR
6,9,2651.2,3125.36,HR
6,9,2646.5,2977.15,HR
6,9,3575.83,6747.18,HR
6,9,2011.0,2181.46,HR
6,9,1946.2,2347.27,HR
6,6,3882.0,4425.42,HR
6,6,3382.75,3557.41,HR
6,6,4663.5,5338.57,HR
6,6,3633.75,5160.63,HR
6,6,3124.8,3057.17,HR
6,6,3127.4,3728.77,HR
6,6,5351.0,5887.51,HR
6,6,3257.17,3941.71,HR
6,7,4609.5,5109.02,HR
6,7,8879.4,7602.52,HR
6,7,1293.33,1462.58,HR
6,7,2985.8,3186.62,HR
6,7,3123.67,2505.88,HR
6,7,2688.0,2731.67,HR
6,7,1428.14,1081.7,HR
6,7,1547.83,1364.53,HR
6,8,2565.4,3511.15,HR
6,8,9473.0,10568.21,HR
6,8,2902.0,3416.2,HR
6,8,2683.5,3278.02,HR
6,8,9878.2,5121.32,HR
6,8,2334.25,3127.61,HR
6,8,3537.0,4913.78,HR
6,8,2201.57,2975.62,HR
6,6,6412.0,7167.62,HR
6,6,5044.5,5856.49,HR
6,6,2125.5,2204.71,HR
6,6,5839.5,6510.87,HR
6,6,2745.25,2826.36,HR
6,6,1373.83,1572.69,HR
6,6,1987.13,2056.66,HR
6,6,993.5,1044.76,HR
6,8,2119.25,2640.28,HR
6,8,1902.2,2236.17,HR
6,8,1407.42,1686.39,HR
6,8,1368.56,1696.14,HR
6,8,1535.25,1885.59,HR
6,8,1418.11,1655.17,HR
6,8,1602.8,2031.51,HR
6,8,1544.67,1891.24,HR
6,7,8152.33,8062.2,HR
6,7,6751.5,6708.01,HR
6,7,5552.0,4911.37,HR
6,7,4238.6,4728.57,HR
6,7,3423.56,3549.18,HR
6,7,2973.8,2775.14,HR
6,7,6117.75,6426.69,HR
6,7,4887.56,4840.83,HR
6,5,3827.33,4399.39,HR
6,5,4479.0,4309.58,HR
6,5,3461.2,3442.7,HR
6,5,4080.57,4215.97,HR
6,5,3223.8,3561.47,HR
6,5,2033.4,2325.37,HR
6,5,1915.0,2092.17,HR
6,5,1994.75,2298.38,HR
6,9,7703.0,7795.67,HR
6,9,4972.25,4558.41,HR
6,9,3504.33,4102.28,HR
6,9,3734.0,4079.87,HR
6,9,2265.33,2671.86,HR
6,9,2074.0,2070.44,HR
6,9,2303.4,2682.25,HR
6,9,1960.33,1862.53,HR
6,4,3976.0,4312.03,HR
6,4,3350.0,3464.04,HR
6,4,4182.0,5957.21,HR
6,4,3728.5,4058.09,HR
6,4,1725.0,1744.18,HR
6,4,3540.0,3329.35,HR
6,4,2290.33,2248.49,HR
6,4,1141.33,1316.23,HR
6,1,4380.4,4372.06,HR
6,1,4320.75,4049.09,HR
6,1,15718.0,17347.86,HR
6,1,3703.4,3444.99,HR
6,1,3673.25,4216.13,HR
6,1,11430.43,5362.6,HR
6,1,3434.25,3482.37,HR
6,1,2926.88,3376.7,HR
6,19,5534.5,6837.92,HR
6,19,7453.0,10134.71,HR
6,19,10479.5,13824.16,HR
6,19,2912.0,4066.11,HR
6,19,5503.75,6723.54,HR
6,19,8529.0,11834.39,HR
6,19,4921.0,6743.51,HR
6,19,15794.25,18031.37,HR
6,19,4822.0,8799.75,HR
